0,1,2,3,4
Name,Match Name,Score,Matrix,Common Free Days
Person1,Person191,0.8034,[-7 -5 -5 -8 -6 -3 -2  0  0  2  1  2  3 -1 -2 -1  1 -1 -2 -2 -2  2  0],"Thursday, Wednesday, Friday"
Person1,Person11,0.7998,"[-12  -8  -8  -8  -8   1  -3  -2   2   0   1   3   2   0  -3   0   1   2
  -3   1   3   3   1]","Tuesday, Sunday, Thursday"
Person1,Person18,0.7767,[-4 -5  0 -4 -4 -1  0 -1 -1  0  0  0  1 -1  0 -2  1 -2 -2  1  2  1  1],"Sunday, Thursday, Friday"
Person1,Person9,0.7680,"[ -3  -7  -7 -11  -4  -8  -4  -3  -5  -2  -1   0  -2  -2  -2  -2  -1   3
   1  -1   1  -3   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person23,0.7596,"[ -9  -6  -5 -13  -8  -2  -1  -3   2   0  -1   3   3  -3  -2   1   1   0
  -1  -1   0   1   1]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person10,0.7354,[-1 -5 -6 -5 -1 -5 -4 -3 -2 -1  0 -3 -3 -1  1 -1  1  2 -2 -2  0 -2 -2],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person42,0.7316,[-5 -4 -5 -5 -2  0 -2 -2 -1  0 -1  1  1  2  0  1  1  3 -2  0  0  1  2],"Tuesday, Sunday, Thursday, Wednesday"
Person1,Person29,0.7313,"[ -5 -10  -3 -11  -3   3  -3  -2   0  -1  -2   1   3  -1   3  -2   1   1
   1  -1   1   2   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person167,0.7176,[-9 -3 -8 -6 -5  3 -1  0 -4  1  2  2  2  1 -3  2  0  2 -3 -1  1  1 -3],"Monday, Tuesday, Sunday, Wednesday"
Person1,Person21,0.6992,[-3 -5 -3 -5 -2  1 -3  2  1 -2  0  2  0  0 -3  0  0  3 -2  1  2  0 -1],"Tuesday, Sunday, Monday, Friday, Wednesday"
Person1,Person36,0.6982,[-9 -3 -8 -8 -9 -6 -2 -5  1  1 -2  3  3 -2  0  2 -1  2 -2  0  2  1 -2],"Tuesday, Sunday, Friday, Thursday, Wednesday"
Person1,Person28,0.6966,[-3 -7 -5 -5 -5 -1  0  0  0  1 -1  3  2  3 -3 -1  1  2  1  1  0  3  0],"Sunday, Thursday"
Person1,Person3,0.6860,[-6 -4 -3 -6 -7 -3  0  0  1  1  2  2  3  2  3 -1  1  2 -1  2  1  2  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person39,0.6752,[-5 -3 -7 -3 -5 -1 -4 -2  0  2  0  2  3  2  0  1  1  1  0 -2 -2  1  0],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person5,0.6456,"[ -5  -4  -5 -10  -5   1  -4   0   2   2   0   3   3  -2  -2   1   1   3
  -2  -2   2   2   0]","Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person16,0.6447,[-7  0 -6 -6 -2  0 -3 -2 -5  0 -2 -2  2  1 -3  0  1  3 -3  0 -1  0 -1],"Tuesday, Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person22,0.6345,"[ -6  -3   1  -6 -11  -1  -4   0   1   0   0  -2   0  -2  -1   3   1   2
  -2  -1  -1   3   1]","Sunday, Monday, Friday, Thursday, Wednesday"
Person1,Person37,0.6166,"[ -1  -5   1 -12  -6  -1  -2  -1  -4   1  -1   0   1   1   2   1   0   2
  -3   1   0  -1   0]","Monday, Tuesday, Sunday, Friday"
Person1,Person40,0.5930,[-7 -3 -6 -6  0  0 -2  1  1  0  1  2  3  2  0  1  1  1  1  2  1  2  2],"Tuesday, Sunday, Monday, Friday, Wednesday"
