PersonX (responder),PersonX (date),Both Filled,Did you enjoy your date?,Did your personalities match?,Was there a romantic tension?,Did you find them physically attractive?,Did you want a second date?,Did you have a second date / is one lined up?,Do you expect to be friends with this person?
Person111,Person130,Yes,6,6,4,7,Yes,Yes,Yes
Person35,Person118,Yes,4,5,1,5,Yes,No,No
Person35,Person125,Yes,4,4,1,4,Yes,No,No
Person32,Person120,Yes,6,6,4,6,No,No,No
Person121,Person9,Yes,7,5,3,6,Yes,No,Yes
Person101,Person61,Yes,4,4,3,5,No,No,No
Person3,Person191,Yes,6,7,2,4,No,No,Yes
Person11,Person23,Yes,7,7,6,7,Yes,No,No
Person2,Person19,Yes,5,4,2,1,No,No,Yes
Person151,Person99,Yes,5,5,2,4,No,No,No
Person29,Person144,Yes,4,3,2,4,Yes,Yes,Yes
Person186,Person36,No,4,2,2,3,No,No,No
Person69,Person158,No,6,5,4,7,Yes,No,No
Person28,Person6,Yes,6,6,5,6,Yes,No,Yes
Person138,Person40,Yes,6,5,4,5,No,No,Yes
Person68,Person105,Yes,2,1,1,6,No,No,No
Person61,Person101,Yes,4,4,3,5,No,No,Yes
Person120,Person32,No,6,5,2,3,No,No,Yes
Person6,Person28,Yes,3,4,1,1,No,No,No
Person20,Person22,No,6,4,4,5,No,No,Yes
Person62,Person173,No,4,4,1,3,Yes,Yes,Yes
Person131,Person31,No,3,4,1,1,No,No,No
Person143,Person179,No,3,2,1,1,No,No,No
Person133,Person54,Yes,5,4,3,6,Yes,No,Yes
Person193,Person95,No,5,4,2,6,Yes,No,No
Person99,Person151,Yes,1,2,1,1,No,No,No
Person144,Person29,Yes,4,4,4,5,No,Yes,Yes
Person191,Person3,Yes,6,6,1,6,No,No,Yes
Person54,Person133,Yes,2,1,1,1,No,No,No
Person71,Person64,No,5,3,1,5,Yes,No,No
Person148,Person84,No,5,4,3,5,Yes,No,No
Person9,Person121,Yes,5,4,2,3,No,No,Yes
Person130,Person111,Yes,5,4,1,3,No,No,Yes
Person19,Person2,Yes,4,3,1,5,No,No,No
Person40,Person138,Yes,5,5,4,5,Yes,No,Yes
Person170,Person184,No,1,1,1,4,No,No,No
Person146,Person103,No,5,5,1,1,Yes,Yes,Yes
Person188,Person113,No,5,5,4,6,Yes,No,No
Person105,Person68,Yes,5,3,1,2,No,No,Yes
Person118,Person35,Yes,2,3,2,1,No,No,No
Person125,Person25,Yes,4,4,1,2,No,No,No
Person23,Person11,Yes,7,7,4,4,Yes,Yes,Yes
